p1,p2,ibd1
AMJI031334,GAAB2308,0.378
AMJI031334,GAAB2309,0.282
AMJI031334,GAAB2310,0
AMJI031334,GAAB2311,0.043
AMJI031334,GAAB2312,0.091
AMJI031334,SNDI071886,0
AMJI031334,SNDI071887,0.282
AMJI031334,SNDI071888,0.617
AMJI031334,SNDI071889,0.091
AMJI031334,SNDI071891,0.378
AMJI031334,SNDI071892,0.378
AMJI031334,SNDI071893,0.091
AMJI031334,SNDI071894,0.235
AMJI031334,SNDI071895,0.378
AMJI031334,SNDI071896,0.187
AMJI031334,SNDI071897,0.139
AMJI031334,SNDI071898,0.187
AMJI031334,SNDI071899,0.426
AMJI031334,SNDI071900,0.187
AMJI031334,SNDI071901,0.091
AMJI031334,SNDI071902,0.139
AMJI031334,SNDI071903,0.282
AMJI031334,SNDI071904,0.043
AMJI031334,SNDI071905,0.235
AMJI031334,SNDI071906,0.378
AMJI031334,SNDI071907,0.33
AMJI031334,SNDI071908,0.139
AMJI031334,SNDI071909,0.139
AMJI031334,SNDI071910,0.235
AMJI031334,TGYE3689,0.474
AMJI031334,TGYE3690,0.139
AMJI031334,TGYE3691,0.235
AMJI031334,TGYE3692,0
AMJI031334,TGYE3693,0.282
AMJI031334,TGYE3694,0.235
AMJI031334,TGYE3695,0.282
AMJI031334,TGYE3696,0.187
AMJI031334,TGYE3697,0.33
AMJI031334,TGYE3698,0.522
AMJI031334,TGYE3699,0.282
AMJI031334,TGYE3700,0.043
AMJI031334,TGYE3701,0.235
AMJI031334,TGYE3702,0.426
AMJI031334,TGYE3703,0
AMJI031334,TGYE3704,0.474
AMJI031334,TGYE3705,0.235
AMJI031334,TGYE3706,0.235
AMJI031334,TGYE3707,0.187
AMJI031334,TGYE3708,0.378
AMJI031334,TGYE3709,0.474
AMJI031334,TGYE3710,0
AMJI031334,Phem8,0.33
AMJI031334,Phem9,0.043
AMJI031334,Phem10,0.474
AMJI031334,Phem11,0
AMJI031334,SEBI1501,0.043
AMJI031334,SEBI1502,0.426
AMJI031334,SEBI1503,0.139
AMJI031334,SEBI1504,0.426
AMJI031334,SEBI1505,0
AMJI031334,SEBI1506,0.33
AMJI031334,SEBI1507,0.378
AMJI031334,SEBI1508,0.378
AMJI031334,SEBI1509,0.282
AMJI031334,SEBI1510,0.043
AMJI031334,SEBI1511,0
AMJI031334,SEBI1512,0.091
AMJI031334,SEBI1513,0.426
AMJI031334,SEBI1514,0.426
AMJI031334,SEBI1515,0.187
AMJI031334,SEBI1516,0.33
AMJI031334,SEBI1517,0
AMJI031334,SEBI1518,0
AMJI031334,SEBI1519,0
AMJI031334,SEBI1520,0.139
AMJI031334,SEBI1521,0.378
AMJI031334,SEBI1522,0
AMJI031334,SEBI1523,0.043
AMJI031334,SEBI1524,0.139
AMJI031334,SEBI1525,0.282
AMJI031334,SEBI1526,0.187
AMJI031334,SEBI1527,0.426
AMJI031334,SEBI1528,0
AMJI031334,SEBI1529,0.282
AMJI031334,SEBI1530,0.474
AMJI031334,SEBI1531,0.33
AMJI031334,SEBI1532,0.378
AMJI031334,SEBI1533,0.235
AMJI031334,SEBI1534,0.282
AMJI031334,SEBI1535,0.139
AMJI031334,SEBI1536,0.474
AMJI031334,SEBI1537,0.235
AMJI031334,SEBI1538,0.235
AMJI031334,SEBI1539,0.235
AMJI031334,SEBI1540,0.187
AMJI031334,SEBI1541,0.378
AMJI031334,SEBI1542,0.282
AMJI031334,SEBI1543,0.426
AMJI031334,SEBI1544,0.139
AMJI031334,SEBI1545,0.426
AMJI031334,SEBI1546,0.282
AMJI031334,SEBI1547,0.378
