"p1","p2","ibd1"
"TGYE3710","TGYE3703",0
"TGYE3710","TGYE3702",0
"TGYE3710","TGYE3701",0
"TGYE3710","TGYE3700",0
"TGYE3710","TGYE3699",0
"TGYE3710","TGYE3698",0
"TGYE3710","TGYE3697",0
"TGYE3710","TGYE3696",0
"TGYE3710","TGYE3695",0.004
"TGYE3710","TGYE3694",0
"TGYE3710","TGYE3693",0.099
"TGYE3710","TGYE3692",0
"TGYE3710","TGYE3691",0
"TGYE3710","TGYE3690",0
"TGYE3710","TGYE3689",0
"TGYE3710","TGSH4258",0
"TGYE3710","TGSH4257",0
"TGYE3710","TGSH4256",0.004
"TGYE3710","TGSH4255",0
"TGYE3710","TGSH4254",0.004
"TGYE3710","TGSH4253",0
"TGYE3710","TGSH4252",0
"TGYE3710","TGSH4251",0
"TGYE3710","TGSH4250",0
"TGYE3710","TGSH4249",0
"TGYE3710","TGSH4248",0
"TGYE3710","TGSH4247",0
"TGYE3710","TGSH4246",0
"TGYE3710","TGSH4245",0
"TGYE3710","TGSH4244",0
"TGYE3710","TGSH4243",0
"TGYE3710","TGSH4242",0
"TGYE3710","TGSH4241",0
"TGYE3710","TGSH4240",0
"TGYE3710","TGSH4239",0
"TGYE3710","TGSH4238",0.004
"TGYE3710","SNDI071910",0
"TGYE3710","SNDI071909",0
"TGYE3710","SNDI071908",0
"TGYE3710","SNDI071907",0
"TGYE3710","SNDI071906",0
"TGYE3710","SNDI071905",0
"TGYE3710","SNDI071904",0
"TGYE3710","SNDI071903",0
"TGYE3710","SNDI071902",0
"TGYE3710","SNDI071901",0
"TGYE3710","SNDI071900",0
"TGYE3710","SNDI071899",0
"TGYE3710","SNDI071898",0
"TGYE3710","SNDI071897",0
"TGYE3710","SNDI071896",0
"TGYE3710","SNDI071895",0
"TGYE3710","SNDI071894",0
"TGYE3710","SNDI071893",0
"TGYE3710","SNDI071892",0
"TGYE3710","SNDI071891",0
"TGYE3710","SNDI071889",0
"TGYE3710","SNDI071888",0
"TGYE3710","SNDI071887",0
"TGYE3710","SNDI071886",0
"TGYE3710","SILR5521",0
"TGYE3710","SILR5520",0
"TGYE3710","SILR5519",0
"TGYE3710","SILR5518",0
"TGYE3710","SILR5517",0
"TGYE3710","SILR5516",0
"TGYE3710","SILR5515",0
"TGYE3710","SILR5514",0
"TGYE3710","SILR5513",0
"TGYE3710","SILR5512",0
"TGYE3710","SILR5511",0
"TGYE3710","SILR5510",0
"TGYE3710","SILR5509",0
"TGYE3710","SILR5508",0
"TGYE3710","SILR5507",0
"TGYE3710","SILR5506",0.099
"TGYE3710","SILR5505",0
"TGYE3710","SILR5504",0
"TGYE3710","SILR5503",0
"TGYE3710","SILR5502",0
"TGYE3710","SILR5501",0
"TGYE3710","SILR5500",0
"TGYE3710","SEBI1592",0
"TGYE3710","SEBI1591",0
"TGYE3710","SEBI1590",0
"TGYE3710","SEBI1589",0
"TGYE3710","SEBI1588",0
"TGYE3710","SEBI1587",0
"TGYE3710","SEBI1586",0
